profID,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,S_skier,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex
79039,2013-12-16 08:30,38,7,0.0,92.0,3.0,1.0,0.0,92.0,1,87.73,27.05,1.21,0.15,0.46,0.0,4,264.7,186.5,37,218.7603305785124,100.6297520661157,60.68000000000001,186.35344429795646,168.58616482157348,64.32382352052997,245.0640337019484,254.92056074766356,0.25,-0.030000000000000027,0.0,0.9500012186650743,3.29,1.35,-0.7089,0.25102444196163437,0.35435564309099754,1.3764782347252373,0.9637585703120893,3.1622560474750108,0.3598356012190247,25057.531379237906,0.11715773894661882,-0.02,3.39
78167,2013-01-29 10:00,41,2,2.0,180.0,1.0,3.0,1.0,200.0,0,203.58,156.9,1.0,0.29,0.37,0.0,4,192.9,36.32,23,192.9,71.373,46.68000000000001,148.154177377892,327.9017860029936,59.63419311220365,190.36007268951195,201.919836400818,0.28,-0.19999999999999996,0.0,0.7745809573181269,2.51,0.69,-0.3964,0.32631026431516647,0.4229796458300301,0.5984068094556677,0.3081863675324785,0.8461831640739688,0.2659783576164073,23979.662052517513,0.2239127550506746,-0.09,6.0
78183,2013-01-31 12:00,38,2,1.0,163.0,1.0,3.0,1.0,167.0,0,182.09,177.18,1.19,0.24,0.31,0.0,4,100.1,2.04,9,84.11764705882352,26.076470588235296,4.909999999999997,142.53869653767822,475.1289884589274,38.01031907671419,142.53869653767822,141.42551020408163,0.24,0.8899999999999999,-1.0,5.714219114219114,6.0,0.17,-0.0465,3.102273551574745,2.1940788884617697,6.0,6.0,50.0,0.1973987483346653,13842.61974584555,0.028643152723378792,-0.36,6.0
79044,2013-12-16 11:15,37,7,0.0,77.0,3.0,1.0,0.0,77.0,1,81.62,46.68,1.13,0.84,0.37,0.0,7,292.8,645.5,37,259.11504424778764,95.87256637168143,34.940000000000005,178.057670291929,125.4582828587634,58.74728488432112,217.38976470588233,222.33919597989953,0.21,-0.10000000000000009,4.0,0.7464430894308943,1.96,4.0,-0.3943,0.4359520073907262,0.7102592373676739,3.0464739534325336,0.12311965543983293,3.8826588668052704,0.545780574046866,16418.45162005635,0.0468731621522088,-0.0,5.77
78203,2013-02-01 08:00,33,3,1.0,90.0,1.0,3.0,1.0,129.0,0,150.53,143.25,6.24,0.0,2.78,0.0,6,143.8,28.37,2,23.044871794871796,64.06474358974359,7.280000000000001,133.09917582417586,337.66272495620325,28.949956601369646,133.09917582417586,128.15518518518525,0.25,5.7700000000000005,-0.5,13.599739591039567,6.0,0.38,-0.07048,2.0923301014054916,2.25765538577,6.0,6.0,50.0,0.034009498638545764,4438.696961854977,0.0029867084463577197,-0.72,6.0
79869,2014-03-13 14:00,37,7,0.0,116.0,3.0,1.0,0.0,116.0,0,121.58,111.62,1.58,0.07,0.59,0.0,5,139.7,1.192,19,88.41772151898734,52.16645569620252,9.959999999999994,136.1725903614458,107.86515692671436,44.441087433232475,136.1725903614458,136.15048231511253,0.2,-0.1399999999999999,0.0,0.8975628839206939,6.0,0.35,-0.09371,1.5293336484168663,1.5683718904576616,6.0,6.0,50.0,0.13909308297202622,8960.553250981522,0.003301427890358533,-0.38,0.1
79280,2014-01-12 14:15,30,7,0.0,99.0,3.0,1.0,0.0,99.0,0,100.25,73.63,1.85,0.0,0.94,0.0,5,171.0,25.91,17,92.43243243243242,86.88648648648648,26.620000000000005,167.8462809917355,261.2878080523668,54.825932733039984,185.8301455301455,202.37234042553192,0.21,1.37,-0.5,4.99013157894737,1.2,0.53,-0.3388,0.5722074807750553,0.5830408733515184,0.18091782707679607,0.1660886091107726,0.19554675018703432,0.18392576863960744,12557.837554501919,0.021955547111668514,-0.11,6.0
79879,2014-03-14 08:45,30,7,0.0,187.0,3.0,1.0,0.0,187.0,1,190.29,160.03,0.43,0.48,0.19,0.0,4,248.0,45.61,25,576.7441860465117,109.5813953488372,30.25999999999999,179.39986781229348,270.5870154483741,68.87543282298984,211.14105090311983,222.56152912621357,0.2,0.020000000000000018,0.5,1.0208693941778129,2.64,1.17,-0.4199,0.5033761777340379,0.69182422858903,0.6661980856137597,0.1495771080213073,0.7880824208001043,0.9301334123111822,12254.580896686159,0.019737033868263275,-0.06,6.0
79551,2014-02-06 09:00,34,2,2.0,181.0,1.0,3.0,1.0,187.0,0,187.56,153.01,0.51,0.42,0.19,0.2,2,157.1,7.296,10,308.0392156862745,58.52745098039215,34.55000000000001,124.32853835021704,335.0499452879511,42.457262634175926,139.83636363636364,144.84072632944228,0.29,-0.15000000000000002,0.0,0.7107516926103814,2.2,0.58,-0.3052,0.4408730286029516,0.5545880532416949,0.2211377507066555,6.0,0.2384959437399717,0.40877673563785977,24638.227146814406,0.25487429325382865,-0.53,6.0
79888,2014-03-14 10:00,35,4,2.0,128.0,3.0,1.0,0.0,137.0,0,134.21,94.93,1.68,0.0,0.71,0.0,5,232.7,126.1,77,138.51190476190476,98.34345238095237,39.28,230.45807026476578,315.7121867250897,85.36865526081968,261.16510752688174,267.10580781414995,0.16,1.14,-1.0,3.6833309459007784,1.93,1.02,-0.6102,0.3877841939468425,0.3915787833657238,0.9310952673061352,0.9219421288350171,1.5589118751229578,0.3973530158237682,21865.229660781588,0.10398322537659369,-0.02,5.09
