profID,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex
20090,2008-01-24 13:00,29.0,3,2,89.5,2.0,3.0,-999,121.0,1,127.71,87.34,2.55,0.0,1.4,0.0,5,179.1,21.67,42,70.23529411764707,98.32941176470587,40.36999999999999,169.7286846668318,230.48136873475534,55.50634776892855,202.39394550958625,216.02007001166854,0.23,1.3199999999999998,0.0,2.429695904999252,0.65,0.59,-0.518,0.3773139246527615,0.3979394072604968,0.4894452793038586,0.4450986028050329,0.13755126778263946,15622.88961038961,0.02929700399810907,-0.2,4.12
19851,2008-01-24 13:00,32.0,2,1,45.0,1.0,3.0,1,74.0,1,85.22,59.94,1.87,0.0,0.95,0.0,5,165.3,21.82,25,88.39572192513369,83.975935828877,25.28,155.54351265822785,208.9326311909304,43.857588509132654,164.91728266527852,184.42271805273842,0.22,0.6800000000000002,0.0,1.7035692679975802,0.89,0.5,-0.28600000000000003,0.6025380988224673,0.6397654548458189,0.10337238084318268,0.05805021154323281,0.15623362027852178,11193.524161280395,0.015407103723061647,-0.1,6.0
20110,2008-01-24 15:00,34.0,4,1,133.8,2.0,3.0,-999,166.0,1,163.75,124.43,0.82,0.34,0.33,0.0,4,201.3,24.51,16,245.48780487804882,81.0109756097561,39.31999999999999,161.64366734486262,344.583526986023,52.74156940370069,187.95148305084743,201.3465536723164,0.24,0.31999999999999995,-0.5,1.8591554893194235,0.61,0.75,-0.4425,0.38738970341383455,0.4805414761172532,0.5740024214708814,0.32735555419921314,0.3879506515485698,20698.51406628265,0.09391720656956896,-0.2,5.34
19870,2008-01-24 15:00,27.0,3,1,104.0,1.0,3.0,1,140.0,1,140.65,97.73,2.1,0.0,1.09,0.0,5,184.1,26.14,43,87.66666666666666,95.55666666666669,42.92,176.4237185461323,270.87933481758404,59.27697891578328,215.35244094488186,228.8888150609081,0.23,0.28,0.0,1.2415911085112608,0.58,0.63,-0.5977,0.3548966248423107,0.3702209553274088,0.5575609291914323,0.5229102453717921,0.1818725322840603,19291.72262618796,0.05730386432543898,-0.2,4.08
20150,2008-01-24 16:00,34.0,6,3,83.0,3.0,3.0,-999,134.0,1,138.43,95.19,1.61,0.09,0.86,0.0,5,185.8,33.2,25,115.40372670807452,99.24720496894408,43.24000000000001,171.57835337650326,291.8179843489453,56.12772137509919,206.30234864300635,209.604124748491,0.23,0.7200000000000001,0.0,2.114705917925521,0.73,0.64,-0.5097,0.35227019283607697,0.3810339268843481,0.575353316415055,0.5091220765452225,0.22367282892922816,15533.58301784749,0.03619799374223728,-0.1,5.47
21072,2008-01-31 10:00,20.0,4,2,111.8,3.0,2.0,-999,159.0,1,153.74,112.42,1.56,0.13,0.91,0.0,5,214.2,65.52,32,137.3076923076923,124.95,41.32000000000001,207.3853581800581,375.563307420221,82.61995889408126,243.22602739726025,251.11123110151192,0.18,0.77,0.0,2.3526575187036842,0.69,0.86,-0.7535,0.3686389917287505,0.3806469132476421,0.8058725052356139,0.7776909333075595,0.34330623790199416,16046.140195208518,0.037617778048099376,-0.1,5.14
22410,2008-02-12 09:00,30.0,5,1,56.0,2.0,2.0,-999,99.0,0,110.94,42.32,1.71,0.05,0.88,0.0,5,257.2,153.5,77,150.40935672514618,132.36023391812864,68.62,205.85568347420585,186.7610565731964,76.05872562065025,260.56535018430753,269.29819354838713,0.22,0.48,-0.5,1.5242954140272351,0.78,1.27,-1.051,0.22197847767752804,0.27626498059650506,1.261692890043039,1.1144855287666036,0.3121561326654316,21805.10611547543,0.07261596580462377,-0.0,3.22
22430,2008-02-12 09:00,36.0,6,3,115.0,3.0,1.0,0,150.0,1,152.45,108.61,1.47,0.06,0.73,0.0,4,207.3,43.54,35,141.0204081632653,102.94489795918369,43.83999999999999,187.02614051094886,189.00142131550842,69.78094534351496,222.11782905086517,223.72588495575226,0.21,0.75,-1.0,2.6069906737417594,0.0,0.8,-0.5295,0.34744897669324765,0.3845148256491968,0.7551487799103758,0.6607174833567118,0.2933164407163196,15558.790294288025,0.02752013770820276,-0.1,3.8
22390,2008-02-12 09:00,31.0,3,2,90.0,2.0,2.0,-999,135.0,1,137.65,91.15,1.85,0.0,1.09,0.0,5,213.3,65.42,44,115.29729729729729,125.67405405405407,46.5,189.10182795698918,216.1474363901271,65.9290230725814,231.6051829268293,244.71108404384896,0.21,0.77,0.0,1.9699475612508897,0.73,0.85,-0.64,0.32757340082219305,0.3688062391267241,0.8333878123315496,0.724699581769412,0.2388654467058,13359.535197471543,0.020821359451603325,-0.1,5.17
22370,2008-02-12 11:00,33.0,5,2,60.0,3.0,1.7,-999,81.1,0,92.99,66.43,1.28,0.21,0.5,0.0,4,202.8,51.45,36,158.4375,79.21875,26.55999999999999,156.46863704819282,137.48095890301832,47.66700805401365,170.12372881355938,181.6550351288056,0.22,-0.09000000000000008,0.0,0.8808649707021406,0.0,0.77,-0.3025,0.5735001181563245,0.7397110005042291,0.2169603336346793,6.0,0.23371661718453235,15018.666666666664,0.04060824039464043,-0.0,6.0
