"triggerDateTime","coordX","coordY","startZoneElevation","startZoneAspect","fractureThicknessMean","size"
"2021-01-29 08:30:00",93088.0588631485,621670.352689244,2386,"NW",60,1
"2014-12-31 07:00:00",189673.46929894,780011.142584431,2731.8,"E",60,2
"2021-01-22 07:00:00",165354.587890951,790055.792030406,2788,"NE",150,4
"2022-02-19 11:00:00",87309.0978013979,585646.472984586,2707,"W",35,2
"1996-02-12 11:00:00",117490.517433911,554689.022888204,1850,"NE",250,2
"2019-01-15 11:30:00",193346.905405405,782781.810905891,2059,"E",70,2
"2017-12-28 23:00:00",173215.479680742,797668.980100675,2699.9,"S",40,4
"2006-03-15 12:45:00",108045.085362072,585842.016341815,2240,"NE",65,3
"2011-03-20 10:15:00",120049.604504452,616949.504024996,2860,"NE",30,2
"2021-02-01 07:10:00",156263.767566438,784780.653668417,2360,"E",100,4
"2005-02-22 16:00:00",172639.354333081,646099.999096879,2040,"NW",40,2
"2020-03-11 02:00:00",198411.954123288,715860.875012169,2259,"N",180,4
"2001-12-30 14:00:00",179299.316024623,659500.025511093,1940,"SW",30,2
"2021-02-02 06:30:00",133060.985424173,606809.373322029,2301,"SE",30,3
"2014-12-25 10:30:00",144309.877849228,760369.963808248,2800,"NE",30,2
"2013-11-04 11:00:00",155341.995035085,633840.943994555,3800,"SE",50,2
"2021-02-09 13:00:00",150631.383136807,786219.212544745,2305,"N",100,3
"2020-01-29 08:40:00",181749.311771965,663340.032344294,1700,"N",40,2
"2019-02-02 11:00:00",159055.048227125,765203.367687986,2298,"E",80,3
"2017-12-09 23:00:00",99625.5410701136,564002.592133076,2013.4,"NW",80,3
"1999-02-01 13:00:00",188129.799617759,785660.021812028,2060,"NE",30,3
"2021-01-16 11:30:00",117599.693844501,609025.42142743,2085,"NE",60,1
"2014-12-31 13:00:00",144767.677371235,768557.66674197,2575,"E",20,2
"2021-11-04 05:00:00",165558.326602335,734153.949490736,1279,"W",35,1
"2021-01-28 06:35:00",145006.312754888,783401.806746471,2742,"N",50,2
"2010-01-18 07:45:00",189829.87595196,736719.961533303,2570,"S",50,3
"2018-01-23 07:00:00",165028.135670709,790333.702248539,2584.7,"SE",30,3
